,,,Steel,Al,Cu,Au,Pb,Ni,Ag,Sn,Zn,Degrees of freedom,Years,Notes,Paper notes
Primary supply elasticity to GDPPC,Priovolos (1987),"Unknown, static",0.93,,,,,,,,,,~1960-1984," Ore, Region: China; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,Priovolos (1987),"Unknown, static",0.18,,,,,,,,,,~1960-1984," Ore, Region: Czechoslovakia; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,Priovolos (1987),"Unknown, static",0.47,,,,,,,,,,~1960-1984," Ore, Region: Egypt; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,Priovolos (1987),"Unknown, static",0.21,,,,,,,,,,~1960-1984," Ore, Region: Germany, W; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,Priovolos (1987),"Unknown, static",0.91,,,,,,,,,,~1960-1984," Ore, Region: Germany, West; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,Priovolos (1987),"Unknown, static",1.03,,,,,,,,,,~1960-1984," Ore, Region: Italy; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,Priovolos (1987),"Unknown, static",0.81,,,,,,,,,,~1960-1984," Ore, Region: Japan; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,Priovolos (1987),"Unknown, static",1.1,,,,,,,,,,~1960-1984," Ore, Region: Korea, S.; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,Priovolos (1987),"Unknown, static",0.7,,,,,,,,,,~1960-1984," Ore, Region: Liberia; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,Priovolos (1987),"Unknown, static",0.99,,,,,,,,,,~1960-1984," Ore, Region: Mauritania; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,Priovolos (1987),"Unknown, static",0.84,,,,,,,,,,~1960-1984," Ore, Region: Mexico; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,Priovolos (1987),"Unknown, static",0.59,,,,,,,,,,~1960-1984," Ore, Region: Netherlands; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,Priovolos (1987),"Unknown, static",0.74,,,,,,,,,,~1960-1984," Ore, Region: Peru; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,Priovolos (1987),"Unknown, static",0.95,,,,,,,,,,~1960-1984," Ore, Region: South Africa; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,Priovolos (1987),"Unknown, static",1.05,,,,,,,,,,~1960-1984," Ore, Region: Sweden; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,Priovolos (1987),"Unknown, static",0.55,,,,,,,,,,~1960-1984," Ore, Region: Turkey; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,Priovolos (1987),"Unknown, static",0.6,,,,,,,,,,~1960-1984," Ore, Region: Venezuela; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,Priovolos (1987),"Unknown, static",0.7,,,,,,,,,,~1960-1984," Ore, Region: Yugoslavia; Comments from Dahl: nan",
Mine CU elasticity to TCM,Priovolos (1987),"Unknown, long run",1.36,,,,,,,,,,~1960-1984," Ore, Region: Australia; Comments from Dahl: nan",
Mine CU elasticity to TCM,Priovolos (1987),"Unknown, long run",1.01,,,,,,,,,,~1960-1984," Ore, Region: Canada; Comments from Dahl: nan",
Mine CU elasticity to TCM,Priovolos (1987),"Unknown, long run",0.82,,,,,,,,,,~1960-1984," Ore, Region: China; Comments from Dahl: nan",
Mine CU elasticity to TCM,Priovolos (1987),"Unknown, long run",0.54,,,,,,,,,,~1960-1984," Ore, Region: Czechoslovakia; Comments from Dahl: nan",
Mine CU elasticity to TCM,Priovolos (1987),"Unknown, long run",1.03,,,,,,,,,,~1960-1984," Ore, Region: Italy; Comments from Dahl: nan",
Mine CU elasticity to TCM,Priovolos (1987),"Unknown, long run",1.07,,,,,,,,,,~1960-1984," Ore, Region: South Africa; Comments from Dahl: nan",
Mine CU elasticity to TCM,Priovolos (1987),"Unknown, long run",0.77,,,,,,,,,,~1960-1984," Ore, Region: United States; Comments from Dahl: nan",
Mine CU elasticity to TCM,Priovolos (1987),"Unknown, short run",0.12,,,,,,,,,,~1960-1984," Ore, Region: Algeria; Comments from Dahl: nan",
Mine CU elasticity to TCM,Priovolos (1987),"Unknown, short run",0.55,,,,,,,,,,~1960-1984," Ore, Region: Australia; Comments from Dahl: nan",
Mine CU elasticity to TCM,Priovolos (1987),"Unknown, short run",-0.17,,,,,,,,,,~1960-1984," Ore, Region: Belgium; Comments from Dahl: nan",
Mine CU elasticity to TCM,Priovolos (1987),"Unknown, short run",0.11,,,,,,,,,,~1960-1984," Ore, Region: Brazil; Comments from Dahl: nan",
Mine CU elasticity to TCM,Priovolos (1987),"Unknown, short run",-0.07,,,,,,,,,,~1960-1984," Ore, Region: Canada; Comments from Dahl: nan",
Mine CU elasticity to TCM,Priovolos (1987),"Unknown, short run",0.3,,,,,,,,,,~1960-1984," Ore, Region: Chile; Comments from Dahl: nan",
Mine CU elasticity to TCM,Priovolos (1987),"Unknown, short run",-0.12,,,,,,,,,,~1960-1984," Ore, Region: China; Comments from Dahl: nan",
Mine CU elasticity to TCM,Priovolos (1987),"Unknown, short run",0.28,,,,,,,,,,~1960-1984," Ore, Region: Egypt; Comments from Dahl: nan",
Mine CU elasticity to TCM,Priovolos (1987),"Unknown, short run",0.14,,,,,,,,,,~1960-1984," Ore, Region: Germany, W; Comments from Dahl: nan",
Mine CU elasticity to TCM,Priovolos (1987),"Unknown, short run",-0.05,,,,,,,,,,~1960-1984," Ore, Region: Germany, West; Comments from Dahl: nan",
Mine CU elasticity to TCM,Priovolos (1987),"Unknown, short run",-0.15,,,,,,,,,,~1960-1984," Ore, Region: Italy; Comments from Dahl: nan",
Mine CU elasticity to TCM,Priovolos (1987),"Unknown, short run",-0.05,,,,,,,,,,~1960-1984," Ore, Region: Japan; Comments from Dahl: nan",
Mine CU elasticity to TCM,Priovolos (1987),"Unknown, short run",0.18,,,,,,,,,,~1960-1984," Ore, Region: Mauritania; Comments from Dahl: nan",
Mine CU elasticity to TCM,Priovolos (1987),"Unknown, short run",0.27,,,,,,,,,,~1960-1984," Ore, Region: Mexico; Comments from Dahl: nan",
Mine CU elasticity to TCM,Priovolos (1987),"Unknown, short run",-0.04,,,,,,,,,,~1960-1984," Ore, Region: Netherlands; Comments from Dahl: nan",
Mine CU elasticity to TCM,Priovolos (1987),"Unknown, short run",0.04,,,,,,,,,,~1960-1984," Ore, Region: Peru; Comments from Dahl: nan",
Mine CU elasticity to TCM,Priovolos (1987),"Unknown, short run",0.18,,,,,,,,,,~1960-1984," Ore, Region: Sweden; Comments from Dahl: nan",
Mine CU elasticity to TCM,Priovolos (1987),"Unknown, short run",0.05,,,,,,,,,,~1960-1984," Ore, Region: Yugoslavia; Comments from Dahl: nan",
Mine CU elasticity to TCM,Priovolos (1987),"Unknown, static",0.49,,,,,,,,,,~1960-1984," Ore, Region: Canada; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Priovolos (1987), a",Unknown,0.49,,,,,,,,,Unknown,1960-1984,For Canada iron ore production,
Primary supply elasticity to GDPPC,"Priovolos (1987), a","Unknown, static",0.43,,,,,,,,,,~1960-1984," Ore, Region: France; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,"Priovolos (1987), a","Unknown, static",1.1,,,,,,,,,,~1960-1984," Ore, Region: India; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,"Priovolos (1987), a","Unknown, static",1.94,,,,,,,,,,~1960-1984," Ore, Region: Spain; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,"Priovolos (1987), a","Unknown, static",1.06,,,,,,,,,,~1960-1984," Ore, Region: USSR; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,"Priovolos (1987), a","Unknown, static",1.56,,,,,,,,,,~1960-1984," Ore, Region: United Kingdom; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Priovolos (1987), a","Unknown, short run",0.05,,,,,,,,,,~1960-1984," Ore, Region: France; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Priovolos (1987), a","Unknown, short run",0.05,,,,,,,,,,~1960-1984," Ore, Region: India; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Priovolos (1987), a","Unknown, short run",0.19,,,,,,,,,,~1960-1984," Ore, Region: Korea, S.; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Priovolos (1987), a","Unknown, short run",0.45,,,,,,,,,,~1960-1984," Ore, Region: South Africa; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Priovolos (1987), a","Unknown, short run",0.27,,,,,,,,,,~1960-1984," Ore, Region: Spain; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Priovolos (1987), a","Unknown, short run",0.1,,,,,,,,,,~1960-1984," Ore, Region: United Kingdom; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Priovolos (1987), a","Unknown, short run",0.04,,,,,,,,,,~1960-1984," Ore, Region: United States; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Priovolos (1987), b",Unknown,0.27,,,,,,,,,Unknown,1960-1984,For Spain iron ore production,
Primary supply elasticity to GDPPC,"Priovolos (1987), b","Unknown, static",0.37,,,,,,,,,,~1960-1984," Ore, Region: France; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,"Priovolos (1987), b","Unknown, static",1.33,,,,,,,,,,~1960-1984," Ore, Region: India; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,"Priovolos (1987), b","Unknown, static",0.48,,,,,,,,,,~1960-1984," Ore, Region: Spain; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,"Priovolos (1987), b","Unknown, static",0.3,,,,,,,,,,~1960-1984," Ore, Region: USSR; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,"Priovolos (1987), b","Unknown, static",1.08,,,,,,,,,,~1960-1984," Ore, Region: United Kingdom; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Priovolos (1987), b","Unknown, short run",-0.19,,,,,,,,,,~1960-1984," Ore, Region: France; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Priovolos (1987), b","Unknown, short run",-0.31,,,,,,,,,,~1960-1984," Ore, Region: India; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Priovolos (1987), b","Unknown, short run",-0.64,,,,,,,,,,~1960-1984," Ore, Region: Korea, S.; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Priovolos (1987), b","Unknown, short run",-0.04,,,,,,,,,,~1960-1984," Ore, Region: South Africa; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Priovolos (1987), b","Unknown, short run",-0.13,,,,,,,,,,~1960-1984," Ore, Region: Spain; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Priovolos (1987), b","Unknown, short run",-0.1,,,,,,,,,,~1960-1984," Ore, Region: United Kingdom; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Priovolos (1987), b","Unknown, short run",-0.16,,,,,,,,,,~1960-1984," Ore, Region: United States; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Priovolos (1987), c",Unknown,0.11,,,,,,,,,Unknown,1960-1984,For Brazil iron ore production,
Mine CU elasticity to TCM,"Priovolos (1987), d",Unknown,0.55,,,,,,,,,Unknown,1960-1984,For Australia iron ore production,
Mine CU elasticity to TCM,"Priovolos (1987), e",Unknown,0.27,,,,,,,,,Unknown,1960-1984,For Mexico iron ore production,
Ore grade elasticity to COT distribution mean,Pustov et al. (2013),Unknown,3,,,,,,,,,,,"Cites a consulting report (Vale looks to the future and highlights the challenges, Macquarie Commodities Research) I cannot find",
Mine CU elasticity to TCM,Rockerbie (1999),Generalized method of moments,,,,0.492,,,,,,17,1970-1995,For South Africa,
Mine CU elasticity to TCM,"Selvanathan (1999), a","Autoregressive distributed lag, short run",,,,0.03,,,,,,39,1948-1994,For Western Australia,
Mine CU elasticity to TCM,"Selvanathan (1999), b","Autoregressive distributed lag, long run",,,,1.237,,,,,,39,1948-1994,For Western Australia,
Collection elasticity to scrap price,Sigman (1995),"Unknown, short run",,,,,0.217,,,,,,1954-1992," Recovery Rate Auto Batteries, Region: United States; Comments from Dahl: nan",
Collection elasticity to scrap price,"Sigman (1995), a","Unknown, static",,,,,0.192,,,,,,1954-1992," Recovery Rate Auto Batteries, Region: United States; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Sigman (1995), a","Unknown, short run",,,,,0.167,,,,,,1952-1992," Primary, Region: United States; Comments from Dahl: nan",
Collection elasticity to scrap price,"Sigman (1995), b","Unknown, static",,,,,0.187,,,,,,1954-1992," Recovery Rate Auto Batteries, Region: United States; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Sigman (1995), b","Unknown, short run",,,,,0.171,,,,,,1952-1992," Primary, Region: United States; Comments from Dahl: nan",
Collection elasticity to scrap price,Slade (1980a),Ordinary least squares,,0.24,,,,,,,,19,1954-1976,,
Mine CU elasticity to TCM,Slade (1980a),Ordinary least squares,,-0.25,,,,,,,,19,1954-1976,,
Collection elasticity to scrap price,Slade (1980b),"Two stage least squares, short run",,,0.28,,,,,,,9,1954-1976,,
Intensity elasticity to price,Stuermer (2017) - from demand,"Autoregressive distributed lag, long-run",,-0.773,-0.44,,-0.213,,,-0.112,-0.046,1086,1840-2010,"Industrial production index is used rather than GDPPC here, df varies by commodity: Al=1086, Cu=1317, Pb=1173, Sn=1255, Zn=1329",
Intensity elasticity to GDPPC,Stuermer (2017) - from demand,"Autoregressive distributed lag, long-run",,0.655,0.102,,-0.33,,,-0.405,-0.077,1086,1840-2010,Industrial production index is used rather than GDPPC here,
Intensity elasticity to time,Stuermer (2017) - from demand,"Autoregressive distributed lag, long-run",,-0.008,-0.004,,-0.005,,,-0.001,-0.003,1086,1840-2010,Industrial production index is used rather than GDPPC here,
Collection elasticity to scrap price,Suslow (1986),Ordinary least squares,,1.96,,,,,,,,9,1923-1940,Could not find specific method information but it appears least squares was used,
Direct melt fraction elasticity to scrap spread,Suslow (1986),Ordinary least squares,,1.08,,,,,,,,9,1923-1940,Could not find specific method information but it appears least squares was used,
Scrap demand elasticity to secondary price,Suslow (1986),Ordinary least squares,,-0.88,,,,,,,,9,1923-1940,Could not find specific method information but it appears least squares was used,
Intensity elasticity to price,Suslow (1986) - from demand,Ordinary least squares,,-1.93,,,,,,,,9,1923-1940,Could not find specific method information but it appears least squares was used,
Primary demand elasticity to scrap spread,Suslow (1986),Ordinary least squares,,-0.89,,,,,,,,9,1923-1940,Could not find specific method information but it appears least squares was used,
Mine CU elasticity to TCM,Taylor (1979),"Unknown, static",,,0.254048479,,,,,,,,1956-1975," refined, Region: United States; Comments from Dahl: Eq P, Pscrap, Employment, (minus strike and surrounding quarters)",
Intensity elasticity to GDPPC,"Tcha (2002), a - from demand","Unknown, static",0.097,-0.84,-0.876,,-0.617,-0.826,,-0.411,-0.748,,1973-1993," , Region: Africa; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Tcha (2002), a - from demand","Unknown, static",0.048,-0.311,-0.315,,-0.93,0.156,,-0.065,-0.474,,1973-1993," , Region: Asia; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Tcha (2002), a - from demand","Unknown, static",0.065,0.027,-0.413,,-0.808,0.444,,-0.357,-0.112,,1973-1993," , Region: Europe; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Tcha (2002), a - from demand","Unknown, static",0.135,-0.719,-0.424,,-0.546,-0.299,,-0.838,-0.8,,1973-1993," , Region: L America; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Tcha (2002), a - from demand","Unknown, static",0.07,-0.303,-0.097,,-0.9,-0.385,,-0.462,-0.241,,1973-1993," , Region: N America; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Tcha (2002), a - from demand","Unknown, static",0.128,-0.181,-0.811,,-0.805,0.101,,-0.461,-0.359,,1973-1993," , Region: Oceania; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Tcha (2002), a - from demand","Unknown, static",0.008,0.07,-0.367,,0.195,-0.391,,-0.562,-0.058,,1973-1993," , Region: USSR; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Tcha (2002), a - from demand","Unknown, static",0.03,-0.152,-0.154,,-0.326,0.286,,-0.089,-0.055,,1973-1993," , Region: World; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), a - from demand","Unknown, short run",-0.006,-0.005,-0.008,,-0.005,-0.055,,-0.068,-0.003,,1961-1993," , Region: World; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), a - from demand","Unknown, static",0.1,0.105,0.065,,-0.048,-0.132,,0.036,0.111,,1973-1993," , Region: Africa; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), a - from demand","Unknown, static",0.058,0.082,0.059,,-0.04,0.036,,-0.16,0.015,,1973-1993," , Region: Asia; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), a - from demand","Unknown, static",-0.001,0.016,0.005,,-0.008,-0.08,,-0.091,-0.017,,1973-1993," , Region: Europe; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), a - from demand","Unknown, static",0.028,0.042,0.058,,-0.029,0.087,,0.126,0.043,,1973-1993," , Region: L America; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), a - from demand","Unknown, static",0.068,0.175,0.042,,0.056,-0.045,,0.031,0.062,,1973-1993," , Region: N America; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), a - from demand","Unknown, static",0.037,0.142,0.187,,0.093,-0.028,,0.215,0.012,,1973-1993," , Region: Oceania; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), a - from demand","Unknown, static",-0.001,-0.036,-0.051,,0.105,-0.018,,-0.121,0.063,,1973-1993," , Region: USSR; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), a - from demand","Unknown, static",-0.012,0.004,-0.025,,-0.006,-0.047,,-0.064,-0.02,,1973-1993," , Region: World; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Tcha (2002), b - from demand","Unknown, static",0.097,-0.841,-0.875,,-0.616,-0.825,,-0.442,-0.748,,1973-1993," , Region: Africa; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Tcha (2002), b - from demand","Unknown, static",0.042,-0.217,-0.234,,-0.76,0.104,,-0.257,-0.488,,1973-1993," , Region: Asia; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Tcha (2002), b - from demand","Unknown, static",0.084,-0.112,-0.461,,-0.79,0.306,,-0.272,-0.169,,1973-1993," , Region: Europe; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Tcha (2002), b - from demand","Unknown, static",0.14,-0.756,-0.445,,-0.559,-0.379,,-0.835,-0.815,,1973-1993," , Region: L America; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Tcha (2002), b - from demand","Unknown, static",0.071,-0.313,-0.11,,-0.904,-0.376,,-0.438,-0.237,,1973-1993," , Region: N America; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Tcha (2002), b - from demand","Unknown, static",0.134,-0.27,-0.82,,-0.789,0.144,,-0.29,-0.372,,1973-1993," , Region: Oceania; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Tcha (2002), b - from demand","Unknown, static",0.006,0.03,-0.305,,0.257,-0.354,,-0.535,0.014,,1973-1993," , Region: USSR; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Tcha (2002), b - from demand","Unknown, static",0.024,-0.029,-0.133,,-0.385,0.321,,-0.167,-0.048,,1973-1993," , Region: World; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), b - from demand","Unknown, short run",-0.009,-0.019,-0.007,,-0.003,-0.058,,-0.05,-0.003,,1961-1993," , Region: World; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), b - from demand","Unknown, static",0.1,0.106,0.068,,-0.051,-0.139,,0.078,0.111,,1973-1993," , Region: Africa; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), b - from demand","Unknown, static",0.054,0.077,0.045,,-0.057,0.037,,-0.143,0.016,,1973-1993," , Region: Asia; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), b - from demand","Unknown, static",0.01,0.034,0.01,,-0.008,-0.078,,-0.082,-0.008,,1973-1993," , Region: Europe; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), b - from demand","Unknown, static",0.029,0.047,0.052,,-0.032,0.069,,0.128,0.044,,1973-1993," , Region: L America; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), b - from demand","Unknown, static",0.069,0.177,0.04,,0.056,-0.044,,0.043,0.061,,1973-1993," , Region: N America; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), b - from demand","Unknown, static",0.039,0.153,0.187,,0.095,-0.025,,0.271,0.016,,1973-1993," , Region: Oceania; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), b - from demand","Unknown, static",-0.002,-0.032,-0.05,,0.107,-0.019,,-0.118,0.055,,1973-1993," , Region: USSR; Comments from Dahl: nan",
Intensity elasticity to price,"Tcha (2002), b - from demand","Unknown, static",-0.013,-0.009,-0.025,,0.001,-0.049,,-0.053,-0.02,,1973-1993," , Region: World; Comments from Dahl: nan",
Intensity elasticity to price,Tcha and Takashina (2002) - from demand,Divisia moments,-0.012,0.004,-0.025,,-0.006,-0.047,,-0.064,-0.02,30,1960-1993,,
Intensity elasticity to GDPPC,Tcha and Takashina (2002) - from demand,Divisia moments,0.03,-0.152,-0.154,,-0.353,0.286,,-0.089,-0.055,30,1960-1993,,
Mean percent change per year in cumulative ore treated,This study,"Calculation from S&P Capital IQ, 2019",5.65,,3.2,10.8,4.9,8.5,5.2,,1.3,,1991-2019,"For all mines already open in 1991 that had a start year given, assumed those mines operated with 1991 ore treated from start year to 1991. Steel was given the average of the other commodities.",
Mine cost change per year,This study,Random effects panel regression,,0.56,2.12,3.54,1.43,-0.66,3.01,0.56,-0.79,3749,1991-2019,"Used base metals results for tin and aluminum. Hausman test deemed random effects unsuitable for Zinc and base metals, used fixed effects model in those cases. Platinum value is 3.09. Degrees of freedom vary across commodity: Cu=3749, Au=3828, Pb=174, Ni=940, Sn=357, Pt=357, Ag=711, Zn=1948, Base metals=6916. Regression also included oil price to account for energy costs.",
Mine cost elasticity to ore grade,This study,Random effects panel regression,,-0.458,-0.3163,-0.367,-0.6855,-0.5084,-0.1969,-0.458,-0.3486,3749,1991-2019,"Used base metals results for tin and aluminum. Hausman test deemed random effects unsuitable for Zinc and base metals, used fixed effects model in those cases. Platinum value is -0.3486. Degrees of freedom vary across commodity: Cu=3749, Au=3828, Pb=174, Ni=940, Sn=357, Pt=357, Ag=711, Zn=1948, Base metals=6916. Regression also included oil price to account for energy costs.",
Ore grade elasticity to COT distribution mean,"This study, a","Calculation from S&P Capital IQ, 2019",,,1.53,4.91,0.51,-1.95,0.095,,1.25,,1991-2019,Simple average percent decline in mean ore grade per year (weighted using recovered metal at each mine for which data were available),
Ore grade elasticity to COT distribution mean,"This study, b","Random effects and fixed effects panel models, depending on Hausman test",,,0.65,2.55,3.48,1.16,0.91,,2.36,4041,1991-2019,"Represents the mean ore grade decline at each mine per year, rather than the mean ore grade decline of the entire commodity, degrees of freedom were: Cu=4041, Au=4042, Pb=190, Ni=981, Pt=377, Ag=721, Zn=2115. Random effects models were used for Au, Ni; all others used fixed effects based on Hausman test. Value for platinum was 2.0",
Ore grade elasticity to COT distribution mean,"This study, c","Random effects and fixed effects panel models, depending on Hausman test",,,0.098,0.29,-0.13,0.11,0.19,,0.1,4041,1991-2019,"Represents the percent ore grade decline per percent increase in cumulative ore treated, degrees of freedom were: Cu=4041, Au=4042, Pb=190, Ni=981, Pt=377, Ag=721, Zn=2115. Only copper used a random effects model based on Hausman test. Value for Pt was -0.025 (meaning increasing grade)",
Intensity elasticity to price,Tims (1977) - from demand,"Unknown, long run",,,-0.175417661,,,,,,,,1955-1975," refined, Region: World; Comments from Dahl: nan",
Intensity elasticity to price,Tims (1977) - from demand,"Unknown, short run",,,-0.147,,,,,,,,1955-1975," refined, Region: World; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Tims (1977), a - from demand","Unknown, static",,,-0.28,,,,,,,,1955-1975," refined, Region: World; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Tims (1977), b - from demand","Unknown, static",,,-0.140811456,,,,,,,,1955-1975," refined, Region: World; Comments from Dahl: nan",
Mine cost change per year,"Topp (2008), a","Calculated from Mining Operations, Australia",1.9,10.4,-7.5,-2.6,2.2,10.4,2.2,,2.2,,1974-1979,"Multifactor productivity, Australia only, Table 2.7. The ""Other"" group includes bauxite, nickel, manganese, and uranium. The ""Other"" values have been assigned to aluminum and nickel here.",
Mine cost change per year,"Topp (2008), b","Calculated from Mining Operations, Australia",-5.9,-3.8,-5,-1.1,-3.7,-3.8,-3.7,,-3.7,,1980-2000,"Multifactor productivity, Australia only, Table 2.7",
Mine cost change per year,"Topp (2008), c","Calculated from Mining Operations, Australia",5.5,2,2.7,5,6.1,2,6.1,,6.1,,2001-2007,"Multifactor productivity, Australia only, Table 2.7",
Collection elasticity to scrap price,US EPA (1998),Two stage least squares,,2.33,,,,,,,,6,1975-1993,,
Scrap demand elasticity to secondary price,US EPA (1998),Two stage least squares,,-0.34,,,,,,,,13,1975-1993,,
Collection elasticity to scrap price,Valencia (2005),"Three stage least squares, short run",,,0.32,,,,,,,14,1971-1998,,
Collection elasticity to scrap price,Valencia (2005),"Three stage least squares, long run",,,0.31,,,,,,,14,1971-1998,,
Collection elasticity to scrap price,Vial (1988),"Ordinary least squares, short run",,,0.33,,,,,,,21,1961-1984,,
Collection elasticity to scrap price,Vial (1988),"Ordinary least squares, long run",,,0.26,,,,,,,21,1961-1984,,
Collection elasticity to scrap price,Vial (2004),Unknown,,,0.2,,,,,,,,,"As referenced in Gomez (2007), working paper not immediately available",
Collection elasticity to scrap price,Vial (2004),Unknown,,,0.11,,,,,,,,,"As referenced in Gomez (2007), working paper not immediately available",
Intensity elasticity to GDPPC,Wagenhals (1984) - from demand,"Unknown, static",,,-0.339,,,,,,,,1950?-1982?," Refined, Region: Centrally Planned Economies; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Wagenhals (1984) - from demand,"Unknown, static",,,-0.174,,,,,,,,1950?-1982?," Refined, Region: Germany, W; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Wagenhals (1984) - from demand,"Unknown, static",,,-0.435,,,,,,,,1950?-1982?," Refined, Region: Italy; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Wagenhals (1984) - from demand,"Unknown, static",,,-0.192,,,,,,,,1950?-1982?," Refined, Region: Japan; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Wagenhals (1984) - from demand,"Unknown, static",,,-0.178,,,,,,,,1950?-1982?," Refined, Region: Ot Market Economics; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Wagenhals (1984) - from demand,"Unknown, static",,,-0.221,,,,,,,,1950?-1982?," Refined, Region: U.K.; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Wagenhals (1984) - from demand,"Unknown, static",,,-0.221,,,,,,,,1950?-1982?," Refined, Region: U.S.; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Wagenhals (1984) - from demand,"Unknown, static",,,-0.252,,,,,,,,1950?-1982?," Total, Region: Germany, W; Comments from Dahl: Eq. Storage, Price, Scrap Price",
Intensity elasticity to GDPPC,Wagenhals (1984) - from demand,"Unknown, static",,,-0.108,,,,,,,,1950?-1982?," Total, Region: Italy; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Wagenhals (1984) - from demand,"Unknown, static",,,-0.174,,,,,,,,1950?-1982?," Total, Region: Japan; Comments from Dahl: nan",
